transaction_date,transaction_type,ticker,shares,price,fee,account_id,note
2026-05-28,BUY,GPIQ,3,59.07,0,ME_FID_TRA_IRA,TIRA-BK
2026-05-28,BUY,IQQQ,3,50.86,0,ME_FID_TRA_IRA,TIRA-BK
2026-05-28,BUY,JEPI,1,56.24,0,ME_FID_TRA_IRA,TIRA-BK
2026-05-28,BUY,JEPI,2,56.23,0,ME_FID_TRA_IRA,TIRA-BK
2026-05-28,BUY,QQQI,3,56.98,0,ME_FID_TRA_IRA,TIRA-BK
2026-05-28,BUY,QQQT,10,19.2,0,ME_FID_TRA_IRA,TIRA-BK
2026-05-28,BUY,QYLD,10,18.03,0,ME_FID_TRA_IRA,TIRA-BK
2026-05-28,BUY,SPHD,3,50.22,0,ME_FID_TRA_IRA,TIRA-BK
2026-05-28,BUY,TQQQ,1,82.26,0,ME_FID_TRA_IRA,TIRA-BK
2026-06-24,BUY,QQQT,10,18.44,0,ME_FID_TRA_IRA,TIRA-BK
2026-06-24,BUY,QQQI,3,55.21,0,ME_FID_TRA_IRA,TIRA-BK
2026-06-24,BUY,IQQQ,3,49.14,0,ME_FID_TRA_IRA,TIRA-BK
2026-06-24,BUY,GPIQ,3,57.69,0,ME_FID_TRA_IRA,TIRA-BK
2026-06-24,BUY,QYLD,10,18.00,0,ME_FID_TRA_IRA,TIRA-BK
2026-06-24,BUY,JEPI,3,56.20,0,ME_FID_TRA_IRA,TIRA-BK
2026-06-24,BUY,SPHD,3,50.54,0,ME_FID_TRA_IRA,TIRA-BK
2026-06-24,BUY,SPHD,1,50.53,0,ME_FID_TRA_IRA,TIRA-BK
